TFOPWG Disposition,TESS Mag,Epoch (BJD),Period (days),Duration (hours),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Predictions
PC,8.5822,2459976.734425,5.8492655,3.237,113.0,1.28883,1526.89,1741.0,113.825,6461.8,4.35,1.33,0
PC,14.6723,2458326.110605,1.73867356638476,1.29881378588748,13645.694673106,9.62985236284059,418.920171370759,1153.858537255,627.339,4746.0,4.52746,0.820258021354675,1
PC,9.2182,2458328.03641,43.8279601161708,4.28189272086418,572.440297770624,2.51059944411027,15.657818687129,507.344041891591,95.3428,5605.0,4.39973,1.03654003143311,1
PC,9.4525,2458326.331428,4.25298788154454,3.109,304.414502932373,2.9336559183942,951.551962909896,1416.53685043042,177.759,6222.5,4.06,1.45381999015808,0
PC,10.3539,2459998.274147,22.464083,5.216,541.0,2.03786,38.457,693.0,148.372,5493.0,4.43001,0.98,1
PC,10.8545,2458325.88429,4.37944252465364,1.74944702459615,966.703612998907,2.67863565882339,120.935486271172,845.781513418925,113.387,4892.0,4.50955,0.742779016494751,1
PC,12.5395,2459338.99312,9.01054136695366,1.84432641885461,4125.07129998765,2.15136821632899,3.35682045785421,345.224674327974,42.8091,3275.0,4.438,0.330146014690399,1
PC,9.7806,2458343.335721,23.5199156406372,3.46100519807899,1379.86565825777,2.45537293828629,8.47706792446775,435.19226261011,54.3256,4566.4,4.93,0.67206197977066,0
PC,9.7806,2458328.444889,7.75653131511068,2.42291456452764,316.239302005689,1.22067151885698,37.2051684985677,629.89849181322,54.3256,4566.4,4.93,0.67206197977066,1
PC,8.0089,2460006.520816,18.5537756,3.456,449.0,1.5494,21.1263,597.0,38.96,5346.2,4.6,0.8,1
PC,8.0089,2460038.97275,9.6960161,2.717,125.0,0.773179,65.3892,792.0,38.96,5346.2,4.6,0.8,1
PC,10.5011,2458334.39996,26.2851255450337,3.15738903198196,993.173979778303,3.51598243328362,29.1145095134106,592.443745686453,166.485,5821.0,4.44094,0.964450001716614,1
PC,13.3292,2458325.540192,0.438446154103891,0.528132706867941,202.855512256981,0.438952249641439,155.72872381371,900.97332011923,52.3428,3146.0,4.438,0.284538000822067,0
PC,11.0316,2458355.118626,0.0,4.81205289402037,4104.58734736124,5.52373670754544,3.10638553968698,338.597376287709,115.742,4658.0,4.53096,0.710767984390259,0
PC,13.8409,2458364.102069,0.0,1.51,30400.0,2.432614,0.290998187392869,187.323524526732,52.3436,2808.0,5.20628,0.128,1
PC,11.3018,2458365.260992,11.6700392254215,2.08890538930429,2863.25555434405,2.01782598685838,4.02103459882977,361.163790221074,33.773,3644.0,4.79912,0.380272001028061,1
PC,11.3018,2458359.46257,7.20153266144016,1.41935829298927,1987.04990888636,1.70560024252293,7.65362246534047,424.215476323063,33.773,3644.0,4.79912,0.380272001028061,1
PC,14.6253,2458356.088013,2.83928091754337,1.56589586790732,35948.0283280034,11.1582056506017,45.559433449559,662.619676730517,249.345,3642.0,4.438,0.549329996109009,1
PC,9.926601,2458354.664553,1.2730996065354,1.62415594445128,378.70512860284,1.86158215275625,713.966492152135,1318.37575296421,80.5407,5024.0,4.5685,0.766027987003326,1
PC,10.7011,2458360.114089,19.4711017873161,3.50040125797784,1786.1954226752,2.97884504544049,9.98919924550161,453.421822777999,74.881,4333.0,4.5109,0.702944993972778,1
PC,8.5509,2458361.550729,8.77092124006292,1.23510764223796,1376.09571288407,5.54104,191.892451389206,949.257904687472,127.272,6208.0,4.438,1.42,0
PC,8.4642,2458354.835618,5.99111235118194,3.44002696687109,421.259142682479,2.37801125225179,283.685628169502,1046.71653117859,75.9529,5711.7,3.84,1.12147998809814,1
PC,11.2738,2458359.538521,6.61538351980285,2.1901479879703,1362.4702841294,2.28335626569915,25.0074750873177,570.344438145279,70.6272,4157.0,4.59257,0.603417992591858,1
PC,9.3626,2458355.619074,3.51049380470679,2.16610512131418,311.961680093115,1.33539315374004,64.7079451841403,723.367765236155,30.8431,4020.0,4.438,0.639370977878571,1
PC,8.4991,2458392.293751,13.4758499012287,1.87997045056941,702.016183559352,1.68017177928045,10.1837498710228,455.613601356792,20.1852,4111.0,4.6461,0.618173003196716,1
PC,9.03971,2458383.915624,3.3639253966859,3.34304953141334,422.061076119246,3.04498626581081,874.795566692029,1387.06365753573,114.495,5890.3,3.92,1.28017997741699,0
